Energy, Mean, STD 
50, 50.19877020796402, 0.7377626801245208, 
50, 50.06885084915863, 0.6727009278743817, 
50, 50.109707144888645, 0.9648795686890265, 
50, 50.186008678813785, 0.7479924977058978, 
50, 50.07947487802335, 1.3509081487918027, 
50, 50.16638128306923, 0.8442327129689156, 
50, 49.9808619106178, 1.2968612916806257, 
50, 50.03896763274755, 0.9561554534512355, 
50, 50.14003778602497, 1.0905004755216186, 
50, 49.93799792806399, 1.298296846061248, 
75, 74.8325234573601, 2.0512553274466176, 
75, 75.15621247347079, 1.0437110917919208, 
75, 75.15093888188606, 1.004342547402377, 
75, 75.18490293409185, 1.6054026401325145, 
75, 75.04340591000857, 1.5119709369741887, 
75, 74.88763991574889, 1.7682728268889738, 
75, 75.09803719727876, 2.0611713075448934, 
75, 75.05768113049547, 1.1569225006093522, 
75, 74.98452050525495, 1.1262155363450321, 
75, 75.07407141229565, 1.3866849710170515,  
100, 100.0764991152768, 2.667805719365511, 
100, 100.00973994842727, 1.6883704533807045, 
100, 99.72823421711682, 2.8224954512572236, 
100, 99.17519040659694, 2.9774575083890706, 
100, 100.13840177958059, 1.4080467383652566, 
100, 100.14660190112834, 1.4178339558019901, 
100, 99.91207083913243, 1.481917057347293, 
100, 99.50858260815063, 2.4084282196414444, 
100, 99.80471269659377, 1.6662393761868353, 
100, 100.04741937369954, 1.5388178388688152,  
125, 125.19885041803559, 4.519987469061679, 
125, 124.51269667873936, 3.5586014200157527, 
125, 124.63652492975731, 2.853055148563164, 
125, 125.02576492158516, 1.7491727353430055, 
125, 124.80669981849194, 2.381394383860174, 
125, 124.51516655115273, 3.8656640110810674, 
125, 124.70461959960025, 2.307211570115201, 
125, 125.09052708609286, 2.5580921333661624, 
125, 125.15711920691585, 1.815340783182745, 
125, 124.67215952167967, 4.263411747692261, 
150, 149.746982185129, 3.9181867017518988, 
150, 149.06588244269528, 5.074688899958945, 
150, 149.72469289169587, 3.429868634975911, 
150, 150.53093720402288, 2.4703881196908357,	 
150, 148.59946407758375, 6.248934168026728, 
150, 149.20393871060816, 5.017743233457207, 
150, 149.2600697791838, 3.5644335897223707, 
150, 149.38614646826855, 4.56668538501868, 
150, 149.92943468119017, 3.284640642260884, 
150, 149.34477798090055, 5.091875899714682, 
175, 173.43362270114963, 5.341252624133384, 
175, 174.75384780696527, 3.013346204501463, 
175, 174.37039653208055, 5.758582684030299, 
175, 171.86503191868735, 9.934698189805923, 
175, 173.76961169433014, 6.802089891803252, 
175, 172.2398037897556, 7.824444387852826, 
175, 173.63768962749927, 5.20680554440837, 
175, 172.74529966074746, 7.82908216663544, 
175, 174.61937878595057, 7.245856471634167, 
175, 174.43662949448634, 3.5570767736192606, 
200, 198.88098235443084, 6.125262254440566, 
200, 197.53966001986566, 7.664596372838144, 
200, 198.2798555832829, 8.286589193306888, 
200, 198.58722252042574, 5.843997211374086, 
200, 198.1469721394595, 8.225439980653908, 
200, 198.3552447867879, 8.202162438563741, 
200, 198.71372043308824, 5.544385772481021, 
200, 200.423672698384, 3.544943330573093, 
200, 199.09301250481306, 6.0803250364979045, 
200, 198.11815405585594, 7.583060208355854, 
225, 223.3349136898971, 5.991970573078309, 
225, 223.29614844080095, 5.624247874502831, 
225, 219.88592841180312, 12.976200391636798, 
225, 225.43956078791322, 3.863562507791756, 
225, 220.75237482531037, 10.082401963768525, 
225, 222.1709803803151, 10.674047923260039, 
225, 224.2103425018451, 7.489131169470833, 
225, 224.87062353212926, 7.477730478746314, 
225, 222.79160334853336, 8.407559802987608, 
225, 224.22521232297134, 7.813516755574986, 
250, 248.02197706161948, 8.286738730326679, 
250, 243.52240657992502, 12.286297650660151, 
250, 243.44670632799298, 15.076748723533523, 
250, 249.44173462746065, 5.310844658108202, 
250, 245.7228380009291, 12.999248972795918, 
250, 244.57006997308903, 13.83320596594387, 
250, 245.2544750187972, 12.064804121747141, 
250, 248.12333972333232, 8.154863447879482, 
250, 246.58488755865963, 13.91943159116758, 
250, 247.17545472025344, 11.48292568742626, 
